id,attraction_id,name,score,distance
260,19,"帅哥餐厅",4.5,
261,19,"仁青客栈",4.8,
262,19,"波密雪叙故里民宿·餐厅",,
263,20,"鲁朗石锅城·松茸天麻石锅鸡",3.8,28.9
264,20,"鲁朗纳麦石锅鸡庄园",4.8,13.5
265,20,"南渝食府.石锅鸡(尚城花园店)",4.9,27.2
266,20,"盐帮菌王府(林芝总店)",4.6,28.3
267,20,"艾葳格兰西餐厅",5.0,14.3
268,20,"兰心石锅菌王府(林芝佳美花园店)",2.7,27.6
269,20,"知味轩石锅鸡",4.5,27.0
270,20,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
271,20,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
272,20,"酸叔老坛酸菜鸡(波密分店)",5.0,
273,20,"南渝食府.石锅鸡(尚城花园店)",4.9,
274,20,"盐帮菌王府(林芝总店)",4.6,
275,20,"圣地卓龙藏家宴",4.9,
276,20,"鲁朗纳麦石锅鸡庄园",4.8,
277,21,"林芝工布庄园希尔顿酒店·猎味中餐厅",,40.0
278,21,"鲁朗石锅城·松茸天麻石锅鸡",3.8,15.5
279,21,"南渝食府.石锅鸡(尚城花园店)",4.9,13.1
280,21,"盐帮菌王府(林芝总店)",4.6,15.4
281,21,"鲁朗纳麦石锅鸡庄园",4.8,29.3
282,21,"兰心石锅菌王府(林芝佳美花园店)",2.7,14.7
283,21,"艾葳格兰西餐厅",5.0,29.6
284,21,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
285,21,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
286,21,"酸叔老坛酸菜鸡(波密分店)",5.0,
287,21,"南渝食府.石锅鸡(尚城花园店)",4.9,
288,21,"盐帮菌王府(林芝总店)",4.6,
289,21,"圣地卓龙藏家宴",4.9,
290,21,"鲁朗纳麦石锅鸡庄园",4.8,
291,22,"鲁朗石锅城·松茸天麻石锅鸡",3.8,36.7
292,22,"鲁朗纳麦石锅鸡庄园",4.8,1.5
